Time_s,BCL_Filtered,BCC_Filtered
8.3795,-1.46361320121851e-05,1.42144195964588e-05
8.38,-1.6134405372321e-05,1.64295358338624e-05
8.3805,-1.4704927062116e-05,1.71730822475378e-05
8.381,-1.15629313372225e-05,1.5479197245251e-05
8.3815,-8.78569854093562e-06,1.11911616486112e-05
8.382,-6.88406984546041e-06,6.70972759250699e-06
8.3825,-4.99824043200016e-06,5.63453313271216e-06
8.383,-2.72442284014976e-06,9.05702826225581e-06
8.3835,-6.9038967950532e-07,1.41580668082333e-05
8.384,4.20561481461646e-07,1.70080478311565e-05
8.3845,6.09130700902565e-07,1.61890311781217e-05
8.385,3.55064392691603e-07,1.34903241960956e-05
8.3855,2.81200513572517e-07,1.18118571653476e-05
8.386,1.10837191527915e-06,1.27585511823073e-05
8.3865,3.34442389022548e-06,1.56758044552394e-05
8.387,6.61621290924677e-06,1.84847483346642e-05
8.3875,9.64629381042028e-06,1.95608062437589e-05
8.388,1.13453664857728e-05,1.90379135214095e-05
8.3885,1.18747534522041e-05,1.83005221282695e-05
8.389,1.24233617865167e-05,1.80023373374774e-05
8.3895,1.39130292912671e-05,1.63993017564894e-05
8.39,1.58884804663668e-05,1.01298914459524e-05
8.3905,1.67506036872078e-05,-2.34176528841774e-06
8.391,1.53290328190062e-05,-1.79877059949182e-05
8.3915,1.21243915975078e-05,-3.09400247757981e-05
8.392,8.67458153701762e-06,-3.72799666171528e-05
8.3925,6.01727633784175e-06,-3.74843672883773e-05
8.393,4.37030483080927e-06,-3.44262545949543e-05
8.3935,3.88282387788921e-06,-3.03350944655964e-05
8.394,4.59454862786349e-06,-2.60077715163278e-05
8.3945,5.62436295992059e-06,-2.16390873860655e-05
8.395,5.53144164180928e-06,-1.72538289671764e-05
8.3955,4.00783435079918e-06,-1.24019851472819e-05
8.396,2.47630868530683e-06,-6.08090459146286e-06
8.3965,2.35372183273123e-06,2.4330888940542e-06
8.397,3.11696425724474e-06,1.22872879389531e-05
8.3975,2.73001141483908e-06,2.08635909746992e-05
8.398,-8.65149096312773e-08,2.58606084516672e-05
8.3985,-4.39107687212458e-06,2.81737311974599e-05
8.399,-7.79517480812312e-06,3.2022860369497e-05
8.3995,-8.51544300734192e-06,4.08888670800397e-05
8.4,-6.71805040630013e-06,5.29442165499365e-05
8.4005,-4.05749174430268e-06,6.15333418614399e-05
